How much would you like to Participate?	Based on your current schedule, which classes would you attend?	Do you know any other programming languages?	If the answer to the last questions was yes. Which ones?	Have you ever taken a programming course before?	Are you a PhD student? If not, what are you?	If you are a student, how far are you into your degree?	What are your goals for the course? What do you want to get out of it?	Number of Classes He/She plans to attend
Both!	5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, it also taught python.	Research Technician		being able to visualize my data in different ways, while also being able to explore different statistical analyses that might be more intuitive for my data set.	4
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Postdoc		To learn python	8
I would like to register as an active participant (I want to come to class)	2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, but it did not teach python.	Yes	2nd year	Exposure to python and learn techniques for using it in my research	6
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow)	No		Yes, but it did not teach python.	Postdoc		I want to learn the basics for Python programming so I can continue on my own and use it to analyze my data. I have used Matlab during my PhD quite a lot but I have never programmed anything myself. I feel like learning Python is a good start!	6
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	Java 	Yes, but it did not teach python.	Yes	Second Year 	Working knowledge of python that can be applied to lab work. 	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Postdoc		Learn the basics to continue into more advanced courses to be able to analyze my data independently 	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	2nd year	I ultimately need to work with large datasets (RNAseq/ATACseq/ChIPseq) - it would be valuable to begin learning basics of programming languages	6
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R	Yes, it also taught python.	Yes	Second year	Programming proficiency	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	6th year	I want to get a working knowledge of Python	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R (but as a package user, nothing cray)	Yes, it also taught python.	Yes	4th year	understanding/background in Python so that in future can learn more in spare time	8
I would like to register as an active participant (I want to come to class)	4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, but it did not teach python.	Yes	Rising 1st year	To learn to make figures	5
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R (basics)	No	Yes	3rd year	Learn the fundamentals of Python and how it can be applied to asking biological questions	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	bash, TCL, Fortran	Yes, it also taught python.	staff scientist		I have some familiarity with Python but would love to further my skills.	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, it also taught python.	Yes	2nd year	Be able to write basic scripts and or interpret or edit more complex scripts 	8
