AGI_identifier	gene_name	gene_annotation
AT1G01010	AT1G01010:NAC001	ANAC001:NAC domain containing protein 1;NAC001:NAC domain containing protein 1
AT1G01020	AT1G01020:ARV1	ARV1
AT1G01030	AT1G01030:NGA3	NGA3:NGATHA3
AT1G01040	AT1G01040:DCL1	ASU1:ABNORMAL SUSPENSOR 1;ATDCL1:DICER-LIKE 1;CAF:CARPEL FACTORY;DCL1:dicer-like 1;EMB60:EMBRYO DEFECTIVE 60;EMB76:EMBRYO DEFECTIVE 76;SIN1:SHORT INTEGUMENTS 1;SUS1:SUSPENSOR 1
AT1G01050	AT1G01050:PPA1	AtPPa1:pyrophosphorylase 1;PPa1:pyrophosphorylase 1
AT1G01060	AT1G01060:LHY	LHY:LATE ELONGATED HYPOCOTYL;LHY1:LATE ELONGATED HYPOCOTYL 1
AT1G01070	AT1G01070	UMAMIT28:Usually multiple acids move in and out Transporters 28
AT1G01073	AT1G01073	NA
AT1G01080	AT1G01080	NA
AT1G01100	AT1G01100:RPP1A	NA
AT1G01110	AT1G01110:IQD18	IQD18:IQ-domain 18
AT1G01115	AT1G01115	NA
AT1G01120	AT1G01120:KCS1	KCS1:3-ketoacyl-CoA synthase 1
AT1G01130	AT1G01130	NA
AT1G01140	AT1G01140:CIPK9	CIPK9:CBL-interacting protein kinase 9;PKS6:PROTEIN KINASE 6;SnRK3.12:SNF1-RELATED PROTEIN KINASE 3.12
AT1G01150	AT1G01150	NA
AT1G01160	AT1G01160:GIF2	GIF2:GRF1-interacting factor 2
AT1G01170	AT1G01170	NA
AT1G01180	AT1G01180	NA
AT1G01190	AT1G01190:CYP78A8	"CYP78A8:""cytochrome P450, family 78, subfamily A, polypeptide 8"""
AT1G01200	AT1G01200:RABA3	ATRAB-A3:ARABIDOPSIS RAB GTPASE HOMOLOG A3;ATRABA3:RAB GTPase homolog A3;RABA3:RAB GTPase homolog A3
AT1G01210	AT1G01210	NA
AT1G01220	AT1G01220:FKGP	AtFKGP:Arabidopsis thaliana L-fucokinase/GDP-L-fucose pyrophosphorylase;FKGP:L-fucokinase/GDP-L-fucose pyrophosphorylase
AT1G01225	AT1G01225	NA
AT1G01230	AT1G01230	NA
AT1G01240	AT1G01240	NA
AT1G01250	AT1G01250:ERF023	NA
AT1G01260	AT1G01260:BHLH13	JAM2:Jasmonate Associated MYC2 LIKE 2
AT1G01280	AT1G01280:CYP703A2	"CYP703;CYP703A2:""cytochrome P450, family 703, subfamily A, polypeptide 2"""
AT1G01290	AT1G01290:CNX3	CNX3:cofactor of nitrate reductase and xanthine dehydrogenase 3
AT1G01300	AT1G01300	NA
AT1G01305	AT1G01305	NA
AT1G01310	AT1G01310	NA
AT1G01320	AT1G01320	NA
AT1G01340	AT1G01340:CNGC10	ACBK1;ATCNGC10:cyclic nucleotide gated channel 10;CNGC10:cyclic nucleotide gated channel 10
